


No	パターン	確認項目	確認事項	テスト実施日	実施結果	担当者
	品目マスタ各ビューの組織を追加するパターン					
1-1	保管場所ビューの新規・追加登録	実行結果	"保管場所ビューの新規拡張および保管場所の追加登録ができること

下記の対象項目：
・MARD-LGORT (保管場所)"			
1-2	販売ビューの新規・追加登録	実行結果	"販売ビューの新規拡張および販売組織・流通チャネルの追加登録ができること

下記の対象項目：
・MVKE-VKORG (販売組織)
・MVKE-VTWEG (流通チャネル)"			
1-3	倉庫管理ビュー（倉庫番号・保管域）の新規・追加登録	実行結果	"倉庫管理ビューの新規拡張および倉庫番号・保管域タイプの追加登録ができること

下記の対象項目：
・MLGN-LGNUM (倉庫番号)
・MLGT-LGTYP (保管域タイプ)"			
	標準仕様で変更不可項目のエラー確認パターン					
2-1	変更不可項目の制御確認	エラー確認	"標準仕様で変更不可である項目に対して変更データを渡した場合、適切なエラーメッセージが返却され更新されないこと

下記の対象項目：
・MARA-MTART (品目タイプ)
・MARA-MEINS (基本数量単位 ※在庫存在時)"			
	会計・原価計算ビューの変更パターン					
3-1	会計ビューのパラメータ一括変更	実行結果	"会計ビュー（1, 2）に属する各種パラメータが正しく上書き更新されること

下記の対象項目：
・MBEW-BKLAS (評価クラス)
・MBEW-EKLAS / QKLAS (VC:受注在庫・プロジェクト在庫)
・MBEW-VPRSV / STPRS / VERPR / PEINH (原価管理区分・各種単価)
・MBEW-MYPOL等 (税法・商法評価額)"			
3-2	原価計算ビューのパラメータ一括変更	実行結果	"原価計算ビュー（1, 2）に属する各種パラメータが正しく上書き更新されること

下記の対象項目：
・MARC-AWSLS (間接費グループ)
・MARC-PRCTR (利益センタ)
・MBEW-ZPLPR / ZPLD1 (次期標準原価・有効開始日付)
・MBEW-ZPLP1等 (予定原価および有効開始日)"			
	多言語テキストの更新パターン					
4-1	複数言語の品目テキスト更新	実行結果	"日本語(JA)、英語(EN)、中国語(ZH)など、複数言語のテキストを同時に渡した場合、各言語キーでテキストが正しく更新されること

下記の対象項目：
・MAKT-SPRAS (言語キー)
・MAKT-MAKTX (品目テキスト)"			
	発注・数量単位と換算係数の変更パターン					
5-1	発注単位および単位変換係数の変更	実行結果	"代替単位（発注単位等）の追加、および基本単位に対する変換係数（分母・分子）が正しく更新されること

下記の対象項目：
・MARA-BSTME (発注単位)
・MARM-MEINH (代替単位)
・MARM-UMREZ (変換分子)
・MARM-UMREN (変換分母)"			
	評価タイプ（分割評価）の追加パターン					
6-1	分割評価における評価タイプの追加	実行結果	"評価カテゴリを持つ品目に対し、新たな評価タイプでの会計データが追加登録されること

下記の対象項目：
・MBEW-BWTTY (評価カテゴリ)
・MBEW-BWTAR (評価タイプ)"			
	インターフェース制御・異常系パターン					
7-1	ビュー指定制御およびフル桁データの検証	エラー確認 / 実行結果	"ヘッダのビュー指定フラグ制御、および最大桁数（フル桁）データを渡した際の動作が仕様通りであること

下記の対象項目：
・HEADDATA / BAPI_TE_MARA (ビュー指定・更新フラグ)
・対象項目全般 (Char 40桁等の最大長データ)"			
